2125,8325,0,753,400,1
2625,10375,0,578,170,1
2875,12775,0,536,145,1
3075,12775,0,547,123,1
3075,14025,0,532,127,1
3125,14175,0,527,121,1
3125,13275,0,539,119,1
3075,14225,0,542,122,1
3175,13925,0,521,126,1
3075,14125,0,519,121,1
3125,14375,0,507,121,1
3125,13325,0,535,124,1
3125,14225,0,524,117,1
3175,13525,0,540,124,1
3075,13975,0,534,120,1
3075,14075,0,534,119,1
3175,13775,0,532,125,1
3175,14375,0,527,118,1
3225,13225,0,549,149,1
3175,13475,0,558,156,1
3125,14425,0,536,122,1
3175,13175,0,552,139,1
3175,14275,0,528,121,1
3175,14325,0,532,123,1
3225,13825,0,529,146,1
3175,13875,0,531,137,1
3175,12925,0,592,156,1
3175,13825,0,539,127,1
3175,14175,0,527,129,1
3125,13925,0,563,139,1
3075,14275,0,524,123,1
3125,14325,0,522,120,1
3175,13425,0,527,120,1
3125,13725,0,587,164,1
3175,14075,0,559,153,1
3125,13225,0,672,181,1
3025,12375,0,954,245,1
3175,13575,0,538,127,1
3225,11825,0,552,173,1
2325,8075,0,700,348,1
2025,7325,0,1215,440,1
2625,9425,0,631,190,1
2875,11925,0,564,157,1
3075,14025,0,563,126,1
3075,13825,0,539,126,1
3175,13825,0,531,128,1
3075,12925,0,781,224,1
3125,13075,0,654,186,1
3175,13875,0,537,126,1
3175,13075,0,550,133,1
3125,13875,0,540,124,1
3125,13325,0,524,131,1
3175,13125,0,533,132,1
3175,13175,0,559,140,1
3125,12775,0,681,186,1
3125,13375,0,686,182,1
3225,12675,0,575,166,1
3125,12025,0,593,219,1
3125,11125,0,812,264,1
3075,12075,0,867,283,1
3025,11175,0,857,268,1
3175,13725,0,566,138,1
3175,14075,0,542,132,1
3175,13525,0,530,134,1
3225,13175,0,535,127,1
3225,14125,0,535,123,1
3075,13425,0,682,163,1
3175,14175,0,543,130,1
3275,13525,0,534,135,1
3175,13225,0,598,155,1
3225,13875,0,563,145,1
3125,14075,0,538,132,1
3125,14025,0,548,139,1
3225,13825,0,534,134,1
3225,12725,0,546,140,1
3175,12975,0,538,126,1
3225,12375,0,537,135,1
3125,13575,0,575,169,1
3075,12725,0,756,218,1
3125,13475,0,625,171,1
3175,13975,0,546,144,1
3075,11975,0,786,224,1
