235,945,5,115568,31335,-1,[112498; 115568]
245,965,5,157526,69604,-1,[157526]
245,975,5,108874,35717,-1,[97980; 64067; 61131; 108874]
65,65,5,12635,5789,1,[12635]
95,25,5,5238,2937,1,[5238]
195,45,5,4650,3124,1,[4650]
195,45,5,4044,2521,1,[4650; 4044]
305,75,5,7632,4881,1,[7632]
385,95,5,8167,4026,1,[8167]
385,95,5,8520,5346,1,[8167; 8520]
385,95,5,5857,3502,1,[8167; 8520; 5857]
385,95,5,5699,3169,1,[8167; 8520; 5857; 5699]
535,135,5,20816,7496,1,[20816]
715,185,5,28433,9693,1,[28433]
725,185,5,29383,13735,1,[29383]
735,185,5,34719,9994,1,[34719]
715,175,5,34843,14624,1,[34843]
705,175,5,37430,11854,1,[37430]
725,175,5,47476,14332,1,[47476]
745,185,5,38496,9434,1,[38496]
735,185,5,37915,9781,1,[34719; 37915]
785,195,5,40053,13915,1,[40053]
825,205,5,43763,13408,1,[43763]
795,195,5,54793,17102,1,[54793]
775,195,5,46461,16642,1,[46461]
795,195,5,84405,19344,-1,[54793; 84405]
805,205,5,48333,14622,1,[48333]
885,225,5,80145,23252,-1,[80145]
845,215,5,144051,49544,-1,[144051]
815,205,5,140164,37913,-1,[140164]
815,205,5,111114,32118,-1,[140164; 111114]
815,205,5,92454,30984,-1,[140164; 111114; 92454]
945,235,5,87343,20487,-1,[87343]
965,245,5,102199,30264,-1,[102199]
895,225,5,100388,22888,-1,[100388]
845,205,5,118421,32199,-1,[118421]
815,205,5,126131,35743,-1,[140164; 111114; 92454; 126131]
835,205,5,120353,34359,-1,[120353]
825,205,5,72962,11857,-1,[43763; 72962]
755,185,5,41776,8718,1,[41776]
745,185,5,38108,10367,1,[38496; 38108]
695,175,5,58714,13344,1,[58714]
475,175,5,27264,9506,1,[27264]
125,115,5,3253,1738,1,[3253]
115,125,5,2856,1750,1,[2856]
115,125,5,2889,1910,1,[2856; 2889]
125,115,5,2800,1848,1,[3253; 2800]
115,125,5,2844,1821,1,[2856; 2889; 2844]
295,295,5,15906,5728,1,[15906]
355,365,5,20066,7590,1,[20066]
355,365,5,24821,10043,1,[20066; 24821]
365,355,5,24296,6997,1,[24296]
365,355,5,20302,7066,1,[24296; 20302]
375,385,5,25505,9390,1,[25505]
465,455,5,51340,15278,1,[51340]
445,445,5,69569,19880,1,[69569]
445,445,5,37340,11402,1,[69569; 37340]
475,465,5,51831,13417,1,[51831]
495,495,5,53241,14907,1,[53241]
505,515,5,48075,14135,1,[48075]
505,505,5,100260,26184,-1,[100260]
505,495,5,46035,13751,1,[46035]
505,505,5,53197,15078,-1,[100260; 53197]
505,495,5,71921,14379,-1,[46035; 71921]
495,495,5,52489,17602,1,[53241; 52489]
535,535,5,112338,47972,-1,[112338]
545,535,5,145224,36682,-1,[145224]
545,545,5,50392,18105,1,[50392]
565,565,5,68986,18341,1,[68986]
575,565,5,73931,23465,-1,[73931]
565,565,5,78517,23505,-1,[68986; 78517]
575,585,5,97995,30818,-1,[97995]
545,555,5,219191,53175,-1,[219191]
535,545,5,156745,33788,-1,[156745]
565,555,5,248163,32973,-1,[248163]
575,575,5,75050,20942,-1,[75050]
555,545,5,80570,29816,-1,[80570]
505,515,5,84650,24319,-1,[48075; 84650]
465,465,5,69092,12049,1,[69092]
155,275,5,18380,7803,1,[18380]
55,185,5,3390,2300,1,[3390]
75,295,5,8664,3888,1,[8664]
145,575,5,19193,5925,1,[19193]
145,575,5,18925,8071,1,[19193; 18925]
145,575,5,13688,5753,1,[19193; 18925; 13688]
145,575,5,19206,6871,1,[19193; 18925; 13688; 19206]
185,755,5,53263,17260,1,[53263]
195,765,5,66841,15478,1,[66841]
185,775,5,85147,19756,-1,[85147]
205,805,5,102773,26655,-1,[102773]
225,885,5,87261,20612,-1,[87261]
225,885,5,74689,17962,-1,[87261; 74689]
225,895,5,86224,25150,-1,[86224]
215,865,5,110837,43775,-1,[110837]
235,915,5,78917,18770,-1,[78917]
235,935,5,114972,38660,-1,[114972]
235,945,5,82261,19430,-1,[82261]
235,935,5,130662,33623,-1,[114972; 130662]
245,975,5,69740,21022,1,[69740]
245,1005,5,118958,35563,-1,[118958]
255,1005,5,138365,35431,-1,[138365]
255,995,5,119444,23800,-1,[119444]
245,965,5,159946,46621,-1,[159946]
245,995,5,107064,37498,-1,[107064]
245,975,5,221682,82815,-1,[69740; 221682]
65,15,5,9776,6687,1,[9776]
195,45,5,9418,6926,1,[9418]
195,45,5,3363,2168,1,[9418; 3363]
195,45,5,3307,1915,1,[9418; 3363; 3307]
195,45,5,3147,2112,1,[9418; 3363; 3307; 3147]
525,135,5,13741,5067,1,[13741]
575,145,5,13686,6610,1,[13686]
575,145,5,20481,6894,1,[13686; 20481]
575,145,5,17777,7472,1,[13686; 20481; 17777]
575,145,5,17966,7202,1,[13686; 20481; 17777; 17966]
715,185,5,27667,10215,1,[27667]
705,175,5,35688,13187,1,[35688]
715,185,5,44082,15615,1,[27667; 44082]
785,195,5,50456,15310,1,[50456]
805,205,5,72134,17680,-1,[72134]
835,205,5,39436,13499,1,[39436]
805,205,5,51870,13462,-1,[72134; 51870]
785,195,5,48066,16352,1,[50456; 48066]
825,205,5,65499,24861,1,[65499]
815,205,5,61854,23439,1,[61854]
905,225,5,60380,16254,1,[60380]
905,225,5,55754,18434,1,[60380; 55754]
865,215,5,84993,26958,-1,[84993]
845,215,5,157826,41844,-1,[157826]
835,205,5,166912,35367,-1,[39436; 166912]
845,215,5,182496,44046,-1,[157826; 182496]
975,245,5,79715,22413,-1,[79715]
915,225,5,76299,20366,-1,[76299]
845,215,5,156379,44068,-1,[157826; 182496; 156379]
865,215,5,80725,23695,-1,[84993; 80725]
755,195,5,90906,25062,-1,[90906]
495,215,5,13322,5610,1,[13322]
505,215,5,16238,5482,1,[16238]
125,115,5,3140,1886,1,[3140]
125,115,5,3147,1771,1,[3140; 3147]
